concept,concept_type,model,model_family,model_params,n_layers,peak_layer,peak_pct,peak_S,caz_width,results_dir
causation,relational,gpt-neo-1.3b,gpt-neo,1300,24,17,70.8,0.4453,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_gpt-neo-1.3b_20260315_131312
causation,relational,gpt-neo-125m,gpt-neo,125,12,9,75.0,0.409,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_gpt-neo-125m_20260315_131312
causation,relational,gpt2-xl,gpt2,1500,48,37,77.1,0.4883,42,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_gpt2-xl_20260315_131312
causation,relational,gpt2,gpt2,124,12,10,83.3,0.456,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_gpt2_20260315_131312
causation,relational,opt-1.3b,opt,1300,24,14,58.3,0.8973,21,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_opt-1.3b_20260315_131312
causation,relational,opt-125m,opt,125,12,8,66.7,0.9069,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_opt-125m_20260315_131312
causation,relational,pythia-160m,pythia,160,12,0,0.0,0.5817,2,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_pythia-160m_20260315_131312
causation,relational,pythia-410m,pythia,410,24,11,45.8,0.9066,22,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_causation_pythia-410m_20260315_131312
certainty,epistemic,gpt-neo-1.3b,gpt-neo,1300,24,20,83.3,0.4457,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_gpt-neo-1.3b_20260315_131312
certainty,epistemic,gpt-neo-125m,gpt-neo,125,12,11,91.7,0.4189,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_gpt-neo-125m_20260315_131312
certainty,epistemic,gpt2-xl,gpt2,1500,48,44,91.7,0.4998,37,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_gpt2-xl_20260315_131312
certainty,epistemic,gpt2,gpt2,124,12,11,91.7,0.4965,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_gpt2_20260315_131312
certainty,epistemic,opt-1.3b,opt,1300,24,19,79.2,1.201,20,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_opt-1.3b_20260315_131312
certainty,epistemic,opt-125m,opt,125,12,8,66.7,1.364,10,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_opt-125m_20260315_131312
certainty,epistemic,pythia-160m,pythia,160,12,6,50.0,1.2137,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_pythia-160m_20260315_131312
certainty,epistemic,pythia-410m,pythia,410,24,15,62.5,1.3911,22,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_certainty_pythia-410m_20260315_131312
credibility,epistemic,gpt-neo-1.3b,gpt-neo,1300,24,23,95.8,0.7038,20,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_gpt-neo-1.3b_20260315_131312
credibility,epistemic,gpt-neo-125m,gpt-neo,125,12,11,91.7,0.7317,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_gpt-neo-125m_20260315_131312
credibility,epistemic,gpt2-xl,gpt2,1500,48,46,95.8,0.7359,27,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_gpt2-xl_20260315_131312
credibility,epistemic,gpt2,gpt2,124,12,11,91.7,0.6357,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_gpt2_20260315_131312
credibility,epistemic,opt-1.3b,opt,1300,24,18,75.0,1.2085,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_opt-1.3b_20260315_131312
credibility,epistemic,opt-125m,opt,125,12,8,66.7,1.3122,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_opt-125m_20260315_131312
credibility,epistemic,pythia-160m,pythia,160,12,11,91.7,1.6095,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_pythia-160m_20260315_131312
credibility,epistemic,pythia-410m,pythia,410,24,4,16.7,1.4412,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_credibility_pythia-410m_20260315_131312
moral_valence,affective,gpt-neo-1.3b,gpt-neo,1300,24,23,95.8,0.2972,23,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_gpt-neo-1.3b_20260315_131312
moral_valence,affective,gpt-neo-125m,gpt-neo,125,12,2,16.7,0.4231,5,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_gpt-neo-125m_20260315_131312
moral_valence,affective,gpt2-xl,gpt2,1500,48,44,91.7,0.2942,48,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_gpt2-xl_20260315_131312
moral_valence,affective,gpt2,gpt2,124,12,11,91.7,0.2895,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_gpt2_20260315_131312
moral_valence,affective,opt-1.3b,opt,1300,24,17,70.8,0.8607,22,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_opt-1.3b_20260315_131312
moral_valence,affective,opt-125m,opt,125,12,8,66.7,0.8794,10,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_opt-125m_20260315_131312
moral_valence,affective,pythia-160m,pythia,160,12,11,91.7,0.3777,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_pythia-160m_20260315_131312
moral_valence,affective,pythia-410m,pythia,410,24,12,50.0,0.9044,18,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_moral_valence_pythia-410m_20260315_131312
negation,syntactic,gpt-neo-1.3b,gpt-neo,1300,24,17,70.8,0.278,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_gpt-neo-1.3b_20260315_131312
negation,syntactic,gpt-neo-125m,gpt-neo,125,12,2,16.7,0.3309,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_gpt-neo-125m_20260315_131312
negation,syntactic,gpt2-xl,gpt2,1500,48,39,81.2,0.314,48,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_gpt2-xl_20260315_131312
negation,syntactic,gpt2,gpt2,124,12,10,83.3,0.272,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_gpt2_20260315_131312
negation,syntactic,opt-1.3b,opt,1300,24,13,54.2,0.6361,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_opt-1.3b_20260315_131312
negation,syntactic,opt-125m,opt,125,12,8,66.7,0.6746,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_opt-125m_20260315_131312
negation,syntactic,pythia-160m,pythia,160,12,5,41.7,0.6698,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_pythia-160m_20260315_131312
negation,syntactic,pythia-410m,pythia,410,24,11,45.8,0.7316,19,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_negation_pythia-410m_20260315_131312
plurality,syntactic,gpt-neo-1.3b,gpt-neo,1300,24,23,95.8,0.3459,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_gpt-neo-1.3b_20260315_131312
plurality,syntactic,gpt-neo-125m,gpt-neo,125,12,2,16.7,0.3893,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_gpt-neo-125m_20260315_131312
plurality,syntactic,gpt2-xl,gpt2,1500,48,47,97.9,0.3223,48,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_gpt2-xl_20260315_131312
plurality,syntactic,gpt2,gpt2,124,12,11,91.7,0.3604,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_gpt2_20260315_131312
plurality,syntactic,opt-1.3b,opt,1300,24,0,0.0,0.6018,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_opt-1.3b_20260315_131312
plurality,syntactic,opt-125m,opt,125,12,1,8.3,0.6034,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_opt-125m_20260315_131312
plurality,syntactic,pythia-160m,pythia,160,12,2,16.7,0.6927,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_pythia-160m_20260315_131312
plurality,syntactic,pythia-410m,pythia,410,24,1,4.2,0.783,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_plurality_pythia-410m_20260315_131312
sentiment,affective,gpt-neo-1.3b,gpt-neo,1300,24,23,95.8,0.3822,20,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_gpt-neo-1.3b_20260315_131312
sentiment,affective,gpt-neo-125m,gpt-neo,125,12,11,91.7,0.4066,8,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_gpt-neo-125m_20260315_131312
sentiment,affective,gpt2-xl,gpt2,1500,48,44,91.7,0.3956,48,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_gpt2-xl_20260315_131312
sentiment,affective,gpt2,gpt2,124,12,10,83.3,0.3472,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_gpt2_20260315_131312
sentiment,affective,opt-1.3b,opt,1300,24,15,62.5,0.8157,16,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_opt-1.3b_20260315_131312
sentiment,affective,opt-125m,opt,125,12,8,66.7,0.7551,10,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_opt-125m_20260315_131312
sentiment,affective,pythia-160m,pythia,160,12,5,41.7,0.7288,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_pythia-160m_20260315_131312
sentiment,affective,pythia-410m,pythia,410,24,13,54.2,0.8819,21,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_sentiment_pythia-410m_20260315_131312
temporal_order,relational,gpt-neo-1.3b,gpt-neo,1300,24,17,70.8,0.4414,24,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_gpt-neo-1.3b_20260315_131312
temporal_order,relational,gpt-neo-125m,gpt-neo,125,12,2,16.7,0.4684,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_gpt-neo-125m_20260315_131312
temporal_order,relational,gpt2-xl,gpt2,1500,48,36,75.0,0.4487,48,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_gpt2-xl_20260315_131312
temporal_order,relational,gpt2,gpt2,124,12,10,83.3,0.4139,12,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_gpt2_20260315_131312
temporal_order,relational,opt-1.3b,opt,1300,24,17,70.8,0.9257,20,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_opt-1.3b_20260315_131312
temporal_order,relational,opt-125m,opt,125,12,8,66.7,1.0103,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_opt-125m_20260315_131312
temporal_order,relational,pythia-160m,pythia,160,12,7,58.3,1.1198,11,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_pythia-160m_20260315_131312
temporal_order,relational,pythia-410m,pythia,410,24,12,50.0,0.9862,21,/home/jhenry/Source/Rosetta_Program/Rosetta_Manifold/results/expanded_temporal_order_pythia-410m_20260315_131312
